source,dest
https://experienceleague.adobe.com/docs/offer-decisioning/using/create-offer-activities.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-manage-activities/create-offer-activities.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/configure-offer-selection.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-manage-activities/configure-offer-selection.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/managing-offers-in-the-offer-library/creating-placements.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-components/creating-placements.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/managing-offers-in-the-offer-library/creating-decision-rules.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-components/creating-decision-rules.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/managing-offers-in-the-offer-library/creating-tags.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-components/creating-tags.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/managing-offers-in-the-offer-library/create-ranking-formulas.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-components/create-ranking-formulas.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/offer-decisioning-home.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/get-started/starting-offer-decisioning.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/new/release-notes.html,
https://experienceleague.adobe.com/docs/offer-decisioning/documentation-updates.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/new/documentation-updates.html
https://experienceleague.adobe.com/docs/offer-decisioning/get-started/starting-offer-decisioning.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/get-started/starting-offer-decisioning.html
https://experienceleague.adobe.com/docs/offer-decisioning/get-started/user-interface.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/get-started/user-interface.html
https://experienceleague.adobe.com/docs/offer-decisioning/get-started/glossary.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/get-started/glossary.html
https://experienceleague.adobe.com/docs/offer-decisioning/get-started/granting-access-to-offer-decisioning.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/get-started/granting-access-to-offer-decisioning.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-library/key-steps.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/get-started/key-steps.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-library/creating-placements.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-components/creating-placements.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-library/creating-decision-rules.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-components/creating-decision-rules.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-library/creating-tags.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-components/creating-tags.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-library/create-ranking-formulas.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-components/create-ranking-formulas.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-library/create-ranking-strategies.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-components/create-ranking-strategies.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-library/creating-personalized-offers.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/managing-offers-in-the-offer-library/creating-personalized-offers.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-library/creating-fallback-offers.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/managing-offers-in-the-offer-library/creating-fallback-offers.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-library/creating-collections.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/managing-offers-in-the-offer-library/creating-collections.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-activities/create-offer-activities.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-manage-activities/create-offer-activities.html
https://experienceleague.adobe.com/docs/offer-decisioning/offer-activities/configure-offer-selection.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-manage-activities/configure-offer-selection.html
https://experienceleague.adobe.com/docs/offer-decisioning/reports/get-started-events.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-reports/get-started-events.html
https://experienceleague.adobe.com/docs/offer-decisioning/reports/key-information.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-reports/key-information.html
https://experienceleague.adobe.com/docs/offer-decisioning/reports/xdm-fields.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/create-reports/xdm-fields.html
https://experienceleague.adobe.com/docs/offer-decisioning/export-catalog/get-started-export.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/export-catalog/get-started-export.html
https://experienceleague.adobe.com/docs/offer-decisioning/export-catalog/access-dataset.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/export-catalog/access-dataset.html
https://experienceleague.adobe.com/docs/offer-decisioning/export-catalog/export-offers.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/export-catalog/export-offers.html
https://experienceleague.adobe.com/docs/offer-decisioning/export-catalog/export-decisions.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/export-catalog/export-decisions.html
https://experienceleague.adobe.com/docs/offer-decisioning/export-catalog/export-placements.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/export-catalog/export-placements.html
https://experienceleague.adobe.com/docs/offer-decisioning/export-catalog/export-fallback.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/export-catalog/export-fallback.html
https://experienceleague.adobe.com/docs/offer-decisioning/api-reference/getting-started.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/getting-started.html
https://experienceleague.adobe.com/docs/offer-decisioning/api-reference/diagnostics.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/diagnostics.html
https://experienceleague.adobe.com/docs/offer-decisioning/api-reference/offers-api/placements/list.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/placements/list.html
https://experienceleague.adobe.com/docs/offer-decisioning/api-reference/offers-api/placements/lookup.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/placements/lookup.html
https://experienceleague.adobe.com/docs/offer-decisioning/api-reference/offers-api/placements/create.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/placements/create.html
https://experienceleague.adobe.com/docs/offer-decisioning/api-reference/offers-api/placements/update.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/placements/update.html
https://experienceleague.adobe.com/docs/offer-decisioning/api-reference/offers-api/placements/delete.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/placements/delete.html
https://experienceleague.adobe.com/docs/offer-decisioning/api-reference/offers-api/decision-rules/list.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/decision-rules/list.html
https://experienceleague.adobe.com/docs/offer-decisioning/api-reference/offers-api/decision-rules/lookup.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/decision-rules/lookup.html
https://experienceleague.adobe.com/docs/offer-decisioning/api-reference/offers-api/decision-rules/create.html,https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/decision-rules/create.html
